jd,UT1_UTC,sigma,DeltaT
2459056.5,-212.9758,0.0106,69.39697579999999
2459057.5,-212.4662,0.0108,69.39646619999999
2459058.5,-211.8373,0.0109,69.3958373
2459059.5,-211.0816,0.011,69.3950816
2459060.5,-210.1849,0.0111,69.3941849
2459061.5,-209.1724,0.0112,69.3931724
2459062.5,-208.1198,0.0113,69.3921198
2459063.5,-207.0472,0.0105,69.3910472
2459064.5,-206.0676,0.0105,69.3900676
2459065.5,-205.2248,0.0105,69.3892248
2459066.5,-204.4963,0.0103,69.3884963
2459067.5,-203.8968,0.012,69.3878968
2459068.5,-203.4232,0.0121,69.3874232
2459069.5,-203.0598,0.0122,69.3870598
2459070.5,-202.7319,0.0118,69.3867319
2459071.5,-202.3438,0.0118,69.38634379999999
2459072.5,-201.8452,0.0118,69.38584519999999
2459073.5,-201.2087,0.0118,69.38520869999999
2459074.5,-200.4326,0.0116,69.3844326
2459075.5,-199.5089,0.0115,69.3835089
2459076.5,-198.4422,0.0114,69.3824422
2459077.5,-197.2937,0.0125,69.3812937
2459078.5,-196.1824,0.0124,69.3801824
2459079.5,-195.1499,0.0123,69.3791499
2459080.5,-194.291,0.0121,69.378291
2459081.5,-193.6905,0.0121,69.3776905
2459082.5,-193.3538,0.0115,69.3773538
2459083.5,-193.2222,0.0114,69.37722219999999
2459084.5,-193.1667,0.0113,69.3771667
2459085.5,-193.0381,0.0111,69.3770381
2459086.5,-192.7121,0.011,69.37671209999999
2459087.5,-192.1165,0.011,69.3761165
2459088.5,-191.2427,0.0111,69.3752427
2459089.5,-190.1405,0.0111,69.3741405
2459090.5,-188.8898,0.0111,69.3728898
2459091.5,-187.6055,0.0111,69.3716055
2459092.5,-186.4054,0.0111,69.3704054
2459093.5,-185.3449,0.011,69.3693449
2459094.5,-184.4359,0.0114,69.3684359
2459095.5,-183.6718,0.0114,69.3676718
2459096.5,-183.021,0.0113,69.367021
2459097.5,-182.4364,0.0111,69.3664364
2459098.5,-181.8721,0.011,69.3658721
2459099.5,-181.2925,0.011,69.3652925
2459100.5,-180.6562,0.0109,69.3646562
2459101.5,-179.9467,0.0109,69.3639467
2459102.5,-179.1721,0.0109,69.3631721
2459103.5,-178.3511,0.0114,69.3623511
2459104.5,-177.5178,0.0117,69.3615178
2459105.5,-176.7408,0.0117,69.3607408
2459106.5,-176.1147,0.0117,69.3601147
2459107.5,-175.7085,0.0117,69.3597085
2459108.5,-175.5535,0.0118,69.3595535
2459109.5,-175.6637,0.012,69.3596637
2459110.5,-175.9844,0.0126,69.3599844
2459111.5,-176.4092,0.0128,69.36040919999999
2459112.5,-176.7967,0.0134,69.3607967
2459113.5,-177.019,0.0136,69.361019
2459114.5,-177.0237,0.0138,69.3610237
2459115.5,-176.8324,0.0141,69.36083239999999
2459116.5,-176.482,0.0142,69.36048199999999
2459117.5,-176.0287,0.0143,69.3600287
2459118.5,-175.5265,0.0143,69.3595265
2459119.5,-175.0164,0.0144,69.3590164
2459120.5,-174.5224,0.0145,69.3585224
2459121.5,-174.0769,0.0148,69.3580769
2459122.5,-173.7115,0.0149,69.3577115
2459123.5,-173.4355,0.015,69.3574355
2459124.5,-173.2413,0.0153,69.3572413
2459125.5,-173.1044,0.0154,69.3571044
2459126.5,-172.9735,0.0155,69.3569735
2459127.5,-172.7946,0.0156,69.3567946
2459128.5,-172.5157,0.0156,69.3565157
2459129.5,-172.0944,0.0157,69.3560944
2459130.5,-171.5545,0.0156,69.3555545
2459131.5,-170.9438,0.0156,69.3549438
2459132.5,-170.347,0.0156,69.354347
2459133.5,-169.8266,0.0156,69.35382659999999
2459134.5,-169.4229,0.0156,69.3534229
2459135.5,-169.2873,0.0156,69.35328729999999
2459136.5,-169.4783,0.0157,69.35347829999999
2459137.5,-169.948,0.0158,69.353948
2459138.5,-170.6403,0.0159,69.3546403
2459139.5,-171.453,0.0159,69.355453
2459140.5,-172.2056,0.016,69.3562056
2459141.5,-172.7351,0.0161,69.3567351
2459142.5,-173.0135,0.0162,69.3570135
2459143.5,-173.1105,0.0162,69.3571105
2459144.5,-173.112,0.0162,69.357112
2459145.5,-173.1129,0.0163,69.3571129
2459146.5,-173.1915,0.0163,69.3571915
2459147.5,-173.3234,0.0164,69.3573234
2459148.5,-173.5104,0.0166,69.3575104
2459149.5,-173.7708,0.0167,69.3577708
2459150.5,-174.1049,0.017,69.3581049
2459151.5,-174.4617,0.0172,69.35846169999999
2459152.5,-174.7433,0.0174,69.3587433
2459153.5,-175.0667,0.0176,69.3590667
2459154.5,-175.3212,0.0178,69.3593212
2459155.5,-175.4892,0.0177,69.3594892
2459156.5,-175.5506,0.0178,69.35955059999999
2459157.5,-175.5009,0.0178,69.3595009
2459158.5,-175.3222,0.0177,69.3593222
2459159.5,-175.0506,0.0179,69.3590506
2459160.5,-174.7265,0.0179,69.3587265
2459161.5,-174.5355,0.0177,69.3585355
2459162.5,-174.581,0.0178,69.358581
2459163.5,-174.895,0.0179,69.358895
2459164.5,-175.4908,0.0181,69.3594908
2459165.5,-176.2784,0.0183,69.3602784
2459166.5,-177.1548,0.0183,69.3611548
2459167.5,-177.9689,0.0189,69.3619689
2459168.5,-178.6182,0.019,69.3626182
2459169.5,-179.0137,0.0123,69.3630137
2459170.5,-179.1302,0.0123,69.3631302
2459171.5,-179.0234,0.0123,69.3630234
2459172.5,-178.7545,0.0123,69.3627545
2459173.5,-178.4446,0.0123,69.3624446
2459174.5,-178.1848,0.0124,69.3621848
2459175.5,-178.069,0.0124,69.36206899999999
2459176.5,-178.1332,0.0125,69.3621332
2459177.5,-178.3393,0.0125,69.3623393
2459178.5,-178.6218,0.0126,69.3626218
2459179.5,-178.9613,0.0113,69.3629613
2459180.5,-179.17,0.0114,69.36317
2459181.5,-179.3068,0.0114,69.3633068
2459182.5,-179.3003,0.0114,69.36330029999999
2459183.5,-179.2036,0.0115,69.36320359999999
2459184.5,-179.0045,0.0116,69.3630045
2459185.5,-178.7175,0.0117,69.3627175
2459186.5,-178.3211,0.0117,69.3623211
2459187.5,-177.9212,0.0117,69.3619212
2459188.5,-177.6326,0.0117,69.3616326
2459189.5,-177.5418,0.0117,69.3615418
2459190.5,-177.6428,0.0118,69.3616428
2459191.5,-177.9633,0.0119,69.3619633
2459192.5,-178.51,0.012,69.36251
2459193.5,-179.1348,0.012,69.3631348
2459194.5,-179.7372,0.012,69.3637372
2459195.5,-180.1889,0.0121,69.3641889
2459196.5,-180.398,0.0121,69.364398
2459197.5,-180.3677,0.0121,69.3643677
2459198.5,-180.1153,0.0122,69.3641153
2459199.5,-179.7032,0.0122,69.3637032
2459200.5,-179.2128,0.0123,69.3632128
2459201.5,-178.7692,0.0122,69.3627692
2459202.5,-178.4509,0.0122,69.3624509
2459203.5,-178.3092,0.0122,69.3623092
2459204.5,-178.2871,0.0123,69.3622871
2459205.5,-178.3855,0.0124,69.3623855
2459206.5,-178.5628,0.0114,69.36256279999999
2459207.5,-178.6681,0.0114,69.3626681
2459208.5,-178.6618,0.0114,69.3626618
2459209.5,-178.5155,0.0114,69.3625155
2459210.5,-178.2196,0.0114,69.3622196
2459211.5,-177.7873,0.0115,69.3617873
2459212.5,-177.2435,0.0115,69.3612435
2459213.5,-176.6471,0.0114,69.3606471
2459214.5,-176.0031,0.0113,69.3600031
2459215.5,-175.376,0.0112,69.359376
2459216.5,-174.8394,0.0105,69.3588394
2459217.5,-174.4761,0.0104,69.3584761
2459218.5,-174.3246,0.0103,69.3583246
2459219.5,-174.3819,0.0102,69.3583819
2459220.5,-174.6023,0.0101,69.3586023
2459221.5,-174.8751,0.01,69.35887509999999
2459222.5,-175.0757,0.0099,69.35907569999999
2459223.5,-175.0823,0.0097,69.3590823
2459224.5,-174.8654,0.0096,69.3588654
2459225.5,-174.4765,0.0094,69.3584765
2459226.5,-173.9724,0.0093,69.3579724
2459227.5,-173.4272,0.0099,69.3574272
2459228.5,-172.9081,0.0102,69.3569081
2459229.5,-172.4606,0.0114,69.35646059999999
2459230.5,-172.1004,0.0116,69.3561004
2459231.5,-171.8081,0.0119,69.3558081
2459232.5,-171.579,0.0122,69.35557899999999
2459233.5,-171.4126,0.0122,69.3554126
2459234.5,-171.2427,0.0124,69.35524269999999
2459235.5,-171.0484,0.0129,69.3550484
2459236.5,-170.7975,0.0122,69.3547975
2459237.5,-170.4758,0.0122,69.3544758
2459238.5,-170.0327,0.0123,69.35403269999999
2459239.5,-169.4247,0.0126,69.35342469999999
2459240.5,-168.7165,0.0124,69.3527165
2459241.5,-168.0026,0.0124,69.35200259999999
2459242.5,-167.3675,0.0124,69.3513675
2459243.5,-166.9073,0.0123,69.3509073
2459244.5,-166.6565,0.0119,69.3506565
2459245.5,-166.6887,0.0119,69.35068869999999
2459246.5,-167.0204,0.0118,69.3510204
2459247.5,-167.5614,0.0125,69.3515614
2459248.5,-168.192,0.0128,69.352192
2459249.5,-168.8,0.0128,69.3528
2459250.5,-169.2802,0.0129,69.3532802
2459251.5,-169.6139,0.0129,69.3536139
2459252.5,-169.685,0.0131,69.353685
2459253.5,-169.4924,0.0126,69.3534924
2459254.5,-169.3373,0.0127,69.35333729999999
2459255.5,-169.2436,0.0126,69.3532436
2459256.5,-169.2657,0.0131,69.3532657
2459257.5,-169.409,0.013,69.353409
2459258.5,-169.7045,0.0129,69.35370449999999
2459259.5,-170.1305,0.0128,69.3541305
2459260.5,-170.6473,0.0131,69.3546473
2459261.5,-171.1965,0.0125,69.35519649999999
2459262.5,-171.6669,0.0124,69.3556669
2459263.5,-171.9511,0.013,69.3559511
2459264.5,-172.0228,0.0131,69.35602279999999
2459265.5,-171.9007,0.0123,69.35590069999999
2459266.5,-171.582,0.0123,69.355582
2459267.5,-171.0795,0.0125,69.3550795
2459268.5,-170.4677,0.0125,69.3544677
2459269.5,-169.8548,0.0132,69.3538548
2459270.5,-169.3475,0.013,69.3533475
2459271.5,-169.0477,0.0128,69.35304769999999
2459272.5,-169.0351,0.0129,69.3530351
2459273.5,-169.3081,0.0129,69.35330809999999
2459274.5,-169.7877,0.0126,69.3537877
