jd,UT1_UTC,sigma,DeltaT
2458625.5,-165.8605,0.007,69.34986049999999
2458626.5,-166.0852,0.007,69.3500852
2458627.5,-166.3187,0.007,69.3503187
2458628.5,-166.5909,0.007,69.3505909
2458629.5,-166.9187,0.007,69.3509187
2458630.5,-167.3157,0.007,69.3513157
2458631.5,-167.7799,0.007,69.3517799
2458632.5,-168.3016,0.007,69.3523016
2458633.5,-168.8676,0.007,69.3528676
2458634.5,-169.4735,0.007,69.35347349999999
2458635.5,-170.0451,0.0071,69.3540451
2458636.5,-170.5907,0.0068,69.3545907
2458637.5,-170.9787,0.0068,69.3549787
2458638.5,-171.2318,0.0068,69.3552318
2458639.5,-171.4035,0.0069,69.3554035
2458640.5,-171.542,0.0068,69.355542
2458641.5,-171.6602,0.0065,69.3556602
2458642.5,-171.8378,0.0065,69.3558378
2458643.5,-172.1356,0.0065,69.3561356
2458644.5,-172.5999,0.0065,69.35659989999999
2458645.5,-173.2075,0.0067,69.3572075
2458646.5,-173.8778,0.0064,69.3578778
2458647.5,-174.4966,0.0064,69.3584966
2458648.5,-175.02,0.0064,69.35902
2458649.5,-175.3572,0.0067,69.35935719999999
2458650.5,-175.4768,0.0065,69.3594768
2458651.5,-175.3998,0.0065,69.35939979999999
2458652.5,-175.2467,0.0065,69.3592467
2458653.5,-175.0128,0.0066,69.3590128
2458654.5,-174.7707,0.0065,69.3587707
2458655.5,-174.5848,0.0065,69.3585848
2458656.5,-174.4462,0.0065,69.3584462
2458657.5,-174.3746,0.0066,69.35837459999999
2458658.5,-174.362,0.0066,69.358362
2458659.5,-174.4211,0.0067,69.3584211
2458660.5,-174.4783,0.0067,69.3584783
2458661.5,-174.5254,0.0068,69.35852539999999
2458662.5,-174.556,0.0068,69.358556
2458663.5,-174.535,0.0069,69.358535
2458664.5,-174.4347,0.007,69.3584347
2458665.5,-174.1799,0.0071,69.3581799
2458666.5,-173.8182,0.007,69.3578182
2458667.5,-173.3282,0.0071,69.3573282
2458668.5,-172.7712,0.0072,69.3567712
2458669.5,-172.2981,0.0072,69.3562981
2458670.5,-171.9953,0.0072,69.3559953
2458671.5,-171.9175,0.0072,69.3559175
2458672.5,-171.9241,0.0073,69.3559241
2458673.5,-172.0129,0.0073,69.3560129
2458674.5,-172.0373,0.0074,69.3560373
2458675.5,-172.0134,0.0074,69.3560134
2458676.5,-171.7954,0.0074,69.35579539999999
2458677.5,-171.3282,0.0075,69.3553282
2458678.5,-170.6787,0.0073,69.3546787
2458679.5,-169.8085,0.0074,69.3538085
2458680.5,-168.8618,0.0074,69.3528618
2458681.5,-167.9382,0.0074,69.35193819999999
2458682.5,-167.0432,0.0074,69.35104319999999
2458683.5,-166.2851,0.0072,69.3502851
2458684.5,-165.6322,0.0073,69.3496322
2458685.5,-165.1379,0.0072,69.3491379
2458686.5,-164.6548,0.0072,69.34865479999999
2458687.5,-164.2195,0.0072,69.3482195
2458688.5,-163.8659,0.0072,69.3478659
2458689.5,-163.5104,0.0073,69.3475104
2458690.5,-163.1795,0.0072,69.3471795
2458691.5,-162.7645,0.0073,69.34676449999999
2458692.5,-162.3692,0.0072,69.3463692
2458693.5,-161.8353,0.0072,69.3458353
2458694.5,-161.2435,0.0072,69.3452435
2458695.5,-160.6707,0.0072,69.3446707
2458696.5,-160.2268,0.0071,69.3442268
2458697.5,-159.8692,0.0063,69.3438692
2458698.5,-159.7619,0.0063,69.3437619
2458699.5,-159.8705,0.0063,69.3438705
2458700.5,-160.1388,0.0063,69.3441388
2458701.5,-160.4604,0.0063,69.3444604
2458702.5,-160.672,0.0063,69.344672
2458703.5,-160.695,0.0063,69.344695
2458704.5,-160.5177,0.0063,69.3445177
2458705.5,-160.09,0.0063,69.34409
2458706.5,-159.507,0.0062,69.343507
2458707.5,-158.8184,0.0063,69.3428184
2458708.5,-158.0556,0.0063,69.3420556
2458709.5,-157.3339,0.0063,69.3413339
2458710.5,-156.7325,0.0063,69.3407325
2458711.5,-156.2758,0.0063,69.3402758
2458712.5,-155.8223,0.0063,69.3398223
2458713.5,-155.5081,0.0063,69.3395081
2458714.5,-155.2168,0.0063,69.3392168
2458715.5,-154.9961,0.0063,69.3389961
2458716.5,-154.8084,0.0063,69.33880839999999
2458717.5,-154.6673,0.0063,69.3386673
2458718.5,-154.5252,0.0062,69.33852519999999
2458719.5,-154.3575,0.0062,69.3383575
2458720.5,-154.0886,0.0062,69.33808859999999
2458721.5,-153.7159,0.0063,69.33771589999999
2458722.5,-153.3169,0.0063,69.33731689999999
2458723.5,-152.9938,0.0063,69.3369938
2458724.5,-152.8093,0.0062,69.3368093
2458725.5,-152.8582,0.0062,69.3368582
2458726.5,-153.1164,0.0063,69.3371164
2458727.5,-153.623,0.0064,69.337623
2458728.5,-154.2362,0.0063,69.3382362
2458729.5,-154.8126,0.0063,69.3388126
2458730.5,-155.2653,0.0064,69.3392653
2458731.5,-155.5174,0.0064,69.33951739999999
2458732.5,-155.5427,0.0064,69.3395427
2458733.5,-155.3511,0.0065,69.3393511
2458734.5,-155.1104,0.0065,69.3391104
2458735.5,-154.7174,0.0065,69.3387174
2458736.5,-154.302,0.0065,69.338302
2458737.5,-153.94,0.0066,69.33794
2458738.5,-153.5993,0.0066,69.3375993
2458739.5,-153.3809,0.0065,69.3373809
2458740.5,-153.291,0.0066,69.337291
2458741.5,-153.3171,0.0066,69.33731709999999
2458742.5,-153.332,0.0066,69.337332
2458743.5,-153.3303,0.0066,69.33733029999999
2458744.5,-153.2853,0.0066,69.33728529999999
2458745.5,-153.1654,0.0067,69.3371654
2458746.5,-152.9207,0.0067,69.3369207
2458747.5,-152.5495,0.0067,69.3365495
2458748.5,-152.1046,0.0068,69.3361046
2458749.5,-151.653,0.0068,69.335653
2458750.5,-151.2166,0.0068,69.3352166
2458751.5,-150.8992,0.0069,69.3348992
2458752.5,-150.8833,0.0069,69.3348833
2458753.5,-151.2096,0.0069,69.3352096
2458754.5,-151.8123,0.007,69.3358123
2458755.5,-152.5147,0.007,69.3365147
2458756.5,-153.205,0.0071,69.337205
2458757.5,-153.7486,0.0072,69.3377486
2458758.5,-153.9883,0.0072,69.33798829999999
2458759.5,-153.9122,0.0073,69.33791219999999
2458760.5,-153.6855,0.0073,69.33768549999999
2458761.5,-153.2978,0.0074,69.3372978
2458762.5,-152.8333,0.007,69.3368333
2458763.5,-152.3685,0.0069,69.33636849999999
